trade_id,entry_time,exit_time,direction,entry_price,exit_price,initial_sl,final_sl_at_exit,tp1,tp2,tp1_hit_status,position_size,pnl_pips,pnl_currency,fvg_type_entry,fvg_timestamp_entry,exit_reason,session,entry_candle_idx,exit_candle_idx,duration_candles
197,2024-05-30 02:15:00,2024-05-30 02:20:00,LONG,2338.79,2338.71,2338.71,2338.71,2338.95,2339.04,False,2.88,-8.0,-23.04,bullish,2024-05-30 02:10:00,sl_hit,ny_overlap,5781,5782,1
198,2024-05-30 02:20:00,2024-05-30 02:25:00,LONG,2338.79,2338.71,2338.71,2338.71,2338.95,2339.04,False,2.82,-8.0,-22.56,bullish,2024-05-30 02:15:00,sl_hit,ny_overlap,5782,5783,1
199,2024-05-30 21:05:00,2024-05-30 21:10:00,SHORT,2342.84,2342.92,2342.92,2342.92,2342.68,2342.59,False,2.7600000000000002,-8.0,-22.08,bearish,2024-05-30 21:00:00,sl_hit,london_primary,6007,6008,1
200,2024-05-30 22:05:00,2024-05-30 22:10:00,SHORT,2342.07,2342.15,2342.15,2342.15,2341.91,2341.82,False,2.71,-8.0,-21.68,bearish,2024-05-30 22:00:00,sl_hit,london_primary,6019,6020,1
201,2024-05-30 22:20:00,2024-05-30 22:25:00,SHORT,2341.03,2341.11,2341.11,2341.11,2340.87,2340.78,False,2.65,-8.0,-21.2,bearish,2024-05-30 22:15:00,sl_hit,london_primary,6022,6023,1
202,2024-05-31 02:30:00,2024-05-31 02:35:00,SHORT,2344.14,2343.89,2344.22,2344.14,2343.98,2343.89,True,2.6,25.0,65.0,bearish,2024-05-31 02:25:00,tp2_hit,ny_overlap,6060,6061,1
203,2024-05-31 21:40:00,2024-05-31 21:45:00,SHORT,2324.88,2324.96,2324.96,2324.96,2324.72,2324.63,False,2.7600000000000002,-8.0,-22.08,bearish,2024-05-31 21:35:00,sl_hit,london_primary,6290,6291,1
204,2024-05-31 21:55:00,2024-05-31 22:00:00,SHORT,2322.98,2323.06,2323.06,2323.06,2322.82,2322.73,False,2.71,-8.0,-21.68,bearish,2024-05-31 21:50:00,sl_hit,london_primary,6293,6294,1
205,2024-05-31 22:45:00,2024-05-31 22:50:00,LONG,2327.12,2327.04,2327.04,2327.04,2327.28,2327.37,False,2.65,-8.0,-21.2,bullish,2024-05-31 22:40:00,sl_hit,london_primary,6303,6304,1
206,2024-05-31 22:50:00,2024-05-31 22:55:00,LONG,2327.49,2327.41,2327.41,2327.41,2327.65,2327.74,False,2.6,-8.0,-20.8,bullish,2024-05-31 22:45:00,sl_hit,london_primary,6304,6305,1
207,2024-06-03 01:10:00,2024-06-03 01:15:00,SHORT,2325.15,2325.23,2325.23,2325.23,2324.99,2324.9,False,2.5500000000000003,-8.0,-20.4,bearish,2024-06-03 01:05:00,sl_hit,ny_overlap,6320,6321,1
208,2024-06-03 01:40:00,2024-06-03 01:45:00,LONG,2326.31,2326.23,2326.23,2326.23,2326.47,2326.56,False,2.5,-8.0,-20.0,bullish,2024-06-03 01:35:00,sl_hit,ny_overlap,6326,6327,1
209,2024-06-03 02:25:00,2024-06-03 02:30:00,SHORT,2325.51,2325.59,2325.59,2325.59,2325.35,2325.26,False,2.45,-8.0,-19.6,bearish,2024-06-03 02:20:00,sl_hit,ny_overlap,6335,6336,1
210,2024-06-03 02:50:00,2024-06-03 02:55:00,LONG,2325.79,2325.71,2325.71,2325.71,2325.95,2326.04,False,2.4,-8.0,-19.2,bullish,2024-06-03 02:45:00,sl_hit,ny_overlap,6340,6341,1
211,2024-06-03 21:00:00,2024-06-03 21:05:00,LONG,2348.62,2348.54,2348.54,2348.54,2348.78,2348.87,False,2.35,-8.0,-18.8,bullish,2024-06-03 20:55:00,sl_hit,london_primary,6558,6559,1
212,2024-06-03 21:10:00,2024-06-03 21:15:00,SHORT,2346.73,2346.81,2346.81,2346.81,2346.57,2346.48,False,2.3000000000000003,-8.0,-18.4,bearish,2024-06-03 21:05:00,sl_hit,london_primary,6560,6561,1
213,2024-06-03 21:40:00,2024-06-03 21:45:00,SHORT,2347.19,2347.27,2347.27,2347.27,2347.03,2346.94,False,2.2600000000000002,-8.0,-18.08,bearish,2024-06-03 21:35:00,sl_hit,london_primary,6566,6567,1
214,2024-06-03 22:25:00,2024-06-03 22:30:00,SHORT,2345.75,2345.83,2345.83,2345.83,2345.59,2345.5,False,2.21,-8.0,-17.68,bearish,2024-06-03 22:20:00,sl_hit,london_primary,6575,6576,1
215,2024-06-03 22:35:00,2024-06-03 22:40:00,SHORT,2345.17,2345.25,2345.25,2345.25,2345.01,2344.92,False,2.17,-8.0,-17.36,bearish,2024-06-03 22:30:00,sl_hit,london_primary,6577,6578,1
216,2024-06-03 23:00:00,2024-06-03 23:05:00,LONG,2348.12,2348.37,2348.04,2348.12,2348.28,2348.37,True,2.13,25.0,53.25,bullish,2024-06-03 22:55:00,tp2_hit,london_primary,6582,6583,1
217,2024-06-04 01:50:00,2024-06-04 01:55:00,LONG,2350.85,2350.77,2350.77,2350.77,2351.01,2351.1,False,2.2600000000000002,-8.0,-18.08,bullish,2024-06-04 01:45:00,sl_hit,ny_overlap,6604,6605,1
218,2024-06-04 02:05:00,2024-06-04 02:10:00,SHORT,2350.37,2350.45,2350.45,2350.45,2350.21,2350.12,False,2.21,-8.0,-17.68,bearish,2024-06-04 02:00:00,sl_hit,ny_overlap,6607,6608,1
