Date;Open;High;Low;Close;Volume
2024.05.30 20:10;2346.7;2347.26;2346.07;2346.43;301
2024.05.30 20:15;2346.42;2347.08;2345.8;2347.08;319
2024.05.30 20:20;2347.09;2348.03;2346.89;2348.0;276
2024.05.30 20:25;2348.0;2348.09;2344.74;2344.85;313
2024.05.30 20:30;2344.55;2345.59;2344.25;2344.41;253
2024.05.30 20:35;2344.42;2344.57;2343.22;2343.88;280
2024.05.30 20:40;2343.82;2344.08;2342.91;2343.51;261
2024.05.30 20:45;2343.52;2343.93;2343.24;2343.49;253
2024.05.30 20:50;2343.5;2344.74;2343.1;2344.64;244
2024.05.30 20:55;2344.68;2344.99;2344.44;2344.45;239
2024.05.30 21:00;2344.46;2344.55;2343.35;2343.45;282
2024.05.30 21:05;2343.49;2343.55;2342.69;2342.84;294
2024.05.30 21:10;2342.73;2343.08;2341.96;2343.08;262
2024.05.30 21:15;2343.07;2343.49;2341.7;2342.18;297
2024.05.30 21:20;2342.25;2342.95;2341.95;2342.85;295
2024.05.30 21:25;2342.85;2343.22;2341.89;2342.32;265
2024.05.30 21:30;2342.31;2343.31;2342.21;2342.83;223
2024.05.30 21:35;2342.83;2343.3;2342.57;2343.0;230
2024.05.30 21:40;2342.98;2343.11;2341.81;2342.42;241
2024.05.30 21:45;2342.43;2342.75;2341.22;2341.99;230
2024.05.30 21:50;2342.01;2342.95;2342.0;2342.79;204
2024.05.30 21:55;2342.8;2343.02;2342.36;2342.64;221
2024.05.30 22:00;2342.63;2342.63;2341.08;2341.3;278
2024.05.30 22:05;2341.24;2342.3;2341.12;2342.07;277
2024.05.30 22:10;2342.07;2342.35;2341.88;2342.09;235
2024.05.30 22:15;2342.09;2342.13;2341.09;2341.26;223
2024.05.30 22:20;2341.27;2341.68;2340.97;2341.03;250
2024.05.30 22:25;2341.03;2341.54;2340.87;2341.06;261
2024.05.30 22:30;2341.05;2341.54;2340.72;2341.53;270
2024.05.30 22:35;2341.53;2342.64;2341.53;2341.93;255
2024.05.30 22:40;2341.93;2341.97;2341.1;2341.21;238
2024.05.30 22:45;2341.32;2341.56;2340.13;2340.13;270
2024.05.30 22:50;2340.15;2341.69;2339.98;2341.65;313
2024.05.30 22:55;2341.77;2342.12;2341.39;2341.57;299
